Dataset,Year,Source,API endpoint,Geography,Variable,Variable description,Estimate/MOE,Date downloaded,Notes/limitations
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01003_001E,Estimate!!Total,Estimate,2026-09-15,Total population
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B27010_001E,Estimate!!Total:,Estimate,2026-09-15,Civilian noninstitutionalized population for health insurance calculation
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",C18108_001E,Estimate!!Total:,Estimate,2026-09-15,Civilian noninstitutionalized population for disability calculation
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",C17002_001E,Estimate!!Total:,Estimate,2026-09-15,Population for whom poverty status is determined
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B19013_001E,Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Estimate,2026-09-15,Median household income in the past 12 months
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B19301_001E,Estimate!!Per capita income in the past 12 months (in 2024 inflation-adjusted dollars),Estimate,2026-09-15,Per capita income in the past 12 months
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B08201_001E,Estimate!!Total:,Estimate,2026-09-15,Total households
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B08201_002E,Estimate!!Total:!!No vehicle available,Estimate,2026-09-15,Households with no vehicle available
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_003E,Estimate!!Total:!!Male:!!Under 5 years,Estimate,2026-09-15,Age component for under5
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_027E,Estimate!!Total:!!Female:!!Under 5 years,Estimate,2026-09-15,Age component for under5
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_003E,Estimate!!Total:!!Male:!!Under 5 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_004E,Estimate!!Total:!!Male:!!5 to 9 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_005E,Estimate!!Total:!!Male:!!10 to 14 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_006E,Estimate!!Total:!!Male:!!15 to 17 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_027E,Estimate!!Total:!!Female:!!Under 5 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_028E,Estimate!!Total:!!Female:!!5 to 9 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_029E,Estimate!!Total:!!Female:!!10 to 14 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_030E,Estimate!!Total:!!Female:!!15 to 17 years,Estimate,2026-09-15,Age component for under18
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_007E,Estimate!!Total:!!Male:!!18 and 19 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_008E,Estimate!!Total:!!Male:!!20 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_009E,Estimate!!Total:!!Male:!!21 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_010E,Estimate!!Total:!!Male:!!22 to 24 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_011E,Estimate!!Total:!!Male:!!25 to 29 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_012E,Estimate!!Total:!!Male:!!30 to 34 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_013E,Estimate!!Total:!!Male:!!35 to 39 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_014E,Estimate!!Total:!!Male:!!40 to 44 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_015E,Estimate!!Total:!!Male:!!45 to 49 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_016E,Estimate!!Total:!!Male:!!50 to 54 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_017E,Estimate!!Total:!!Male:!!55 to 59 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_018E,Estimate!!Total:!!Male:!!60 and 61 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_019E,Estimate!!Total:!!Male:!!62 to 64 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_031E,Estimate!!Total:!!Female:!!18 and 19 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_032E,Estimate!!Total:!!Female:!!20 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_033E,Estimate!!Total:!!Female:!!21 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_034E,Estimate!!Total:!!Female:!!22 to 24 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_035E,Estimate!!Total:!!Female:!!25 to 29 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_036E,Estimate!!Total:!!Female:!!30 to 34 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_037E,Estimate!!Total:!!Female:!!35 to 39 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_038E,Estimate!!Total:!!Female:!!40 to 44 years,Estimate,2026-09-15,Age component for age18_64
ACS 5-Year Estimates,2024,U.S. Census Bureau,https://api.census.gov/data/2024/acs/acs5,"Williamson County, Texas block groups filtered to the Liberty Hill study area",B01001_039E,Estimate!!Total:!!Female:!!45 to 49 years,Estimate,2026-09-15,Age component for age18_64
